destination_name,district,province,latitude,longitude,category,development_stage,accessibility,activities,event_months
Mulkirigala Rock Monastery,Hambantota,Southern,6.1667,80.8833,Hidden Gem,Developing,Moderate,Heritage Walk; Temple Visit,
Yapahuwa Rock Fortress,Kurunegala,North Western,7.8333,80.2,Hidden Gem,Emerging,Moderate,Heritage Walk; Photography,
Sera Ella Waterfall,Matale,Central,7.5333,80.6833,Hidden Gem,Emerging,Remote,Waterfall Trek; Cave Exploration,
Hiriwadunna Village,Anuradhapura,North Central,7.9833,80.75,Hidden Gem,Emerging,Moderate,Village Tour; Coracle Boat Ride,
Ravana Caves & Ella Wala Pool,Badulla,Uva,6.85,81.0333,Hidden Gem,Emerging,Remote,Cave Exploration; Rock Pool Swim,
Diyaluma Infinity Pools,Badulla,Uva,6.7333,81.0333,Hidden Gem,Emerging,Remote,Waterfall Trek; Abseiling,
Meemure Village,Kandy,Central,7.4667,80.8,Hidden Gem,Undeveloped,Remote,Village Homestay; Mountain Trek,
Riverston (Mini World's End),Matale,Central,7.4667,80.7333,Hidden Gem,Emerging,Remote,Hiking; Viewpoint,
Bambarakanda Falls,Badulla,Uva,6.7833,80.8,Hidden Gem,Emerging,Moderate,Waterfall Trek; Photography,
Dowa Rock Temple,Badulla,Uva,6.8833,81.05,Hidden Gem,Developing,Easy Access,Heritage Walk; Temple Visit,
Ritigala Forest Monastery,Anuradhapura,North Central,8.1167,80.65,Hidden Gem,Undeveloped,Remote,Forest Trek; Heritage Walk,
Delft Island,Jaffna,Northern,9.5333,79.6667,Hidden Gem,Undeveloped,Remote,Island Exploration; Wild Pony Watching,
Nainativu & Nagadeepa,Jaffna,Northern,9.5833,79.7667,Hidden Gem,Emerging,Remote,Heritage Walk; Boat Ride,
Kayts Island,Jaffna,Northern,9.6833,79.9833,Hidden Gem,Undeveloped,Remote,Island Exploration; Fishing Village Tour,
Madunagala Hot Springs,Hambantota,Southern,6.25,81.2333,Hidden Gem,Emerging,Moderate,Hot Spring Bathing,
Kanniya Hot Springs,Trincomalee,Eastern,8.6,81.1667,Hidden Gem,Developing,Easy Access,Hot Spring Bathing,
Wewurukannala & Buduruwagala Carvings,Badulla/Monaragala,Uva,6.7167,81.1667,Hidden Gem,Emerging,Moderate,Heritage Walk; Rock Carving Viewing,
Muhudu Maha Vihara,Hambantota,Southern,6.3333,81.4667,Hidden Gem,Undeveloped,Remote,Beach Heritage Walk,
Panama Village,Ampara,Eastern,6.9333,81.7833,Hidden Gem,Undeveloped,Remote,Village Tour; Lagoon Kayaking,
Vidattaltivu Lagoon,Mannar,Northern,8.95,80.0333,Hidden Gem,Undeveloped,Remote,Birdwatching; Lagoon Boat Ride,
Bogoda Wooden Bridge,Badulla,Uva,6.9667,81.0167,Hidden Gem,Emerging,Moderate,Heritage Walk,
Aluvihare Rock Monastery,Matale,Central,7.4833,80.6167,Hidden Gem,Developing,Easy Access,Heritage Walk; Cave Exploration,
Kitulgala White Water Rafting,Kegalle,Sabaragamuwa,6.9833,80.4167,Adventure,Developed,Moderate,White Water Rafting; Canyoning,
Adam's Peak (Sri Pada) Climb,Ratnapura,Sabaragamuwa,6.8092,80.4992,Adventure,Developing,Moderate,Mountain Climb; Pilgrimage Hike,
Horton Plains & World's End Hike,Nuwara Eliya,Central,6.8058,80.7981,Adventure,Developed,Moderate,Hiking; Birdwatching,
Knuckles Mountain Range Trekking,Kandy/Matale,Central,7.4667,80.7833,Adventure,Developing,Remote,Mountain Trek; Camping,
Kalpitiya Kite Surfing,Puttalam,North Western,8.2333,79.7667,Adventure,Developing,Moderate,Kite Surfing; Windsurfing,
Arugam Bay Surfing,Ampara,Eastern,6.84,81.83,Adventure,Developed,Moderate,Surfing,
Hikkaduwa Diving & Surfing,Galle,Southern,6.14,80.1,Adventure,Developed,Easy Access,Scuba Diving; Surfing,
Pigeon Island Snorkeling,Trincomalee,Eastern,8.7167,81.2,Adventure,Developed,Moderate,Snorkeling; Boat Ride,
Trincomalee Whale Watching,Trincomalee,Eastern,8.5667,81.2333,Adventure,Developing,Moderate,Whale Watching; Deep Sea Diving,
Yala National Park Safari,Hambantota,Southern,6.3719,81.5199,Adventure,Developed,Moderate,Wildlife Safari; Leopard Tracking,
Wilpattu National Park Safari,Puttalam,North Western,8.45,80.05,Adventure,Developing,Remote,Wildlife Safari,
Minneriya Elephant Gathering,Polonnaruwa,North Central,8.0333,80.9,Adventure,Developed,Moderate,Wildlife Safari; Elephant Watching,
Belihuloya River Adventures,Ratnapura,Sabaragamuwa,6.6833,80.8333,Adventure,Emerging,Remote,River Trekking; Camping,
Ravana Falls Abseiling,Badulla,Uva,6.8781,81.0578,Adventure,Developing,Moderate,Abseiling; Waterfall Trek,
Sinharaja Rainforest Trekking,Ratnapura/Galle,Sabaragamuwa,6.4,80.5,Adventure,Developing,Remote,Rainforest Trek; Wildlife Spotting,
Rathnapura Gem Mining Tour,Ratnapura,Sabaragamuwa,6.6828,80.4014,Adventure,Developing,Moderate,Gem Mine Tour,
Udawalawe National Park Safari,Ratnapura/Moneragala,Sabaragamuwa,6.4667,80.8833,Adventure,Developed,Moderate,Wildlife Safari; Elephant Watching,
Wasgamuwa National Park Safari,Matale/Polonnaruwa,Central,7.7833,80.9333,Adventure,Emerging,Remote,Wildlife Safari,
Gal Oya Boat Safari,Ampara,Eastern,7.1667,81.45,Adventure,Emerging,Remote,Boat Safari; Village Trek with Veddah Guide,
Kumana National Park Birding & Safari,Ampara,Eastern,6.5667,81.6667,Adventure,Emerging,Remote,Wildlife Safari; Birdwatching,
Ella Rock & Little Adam's Peak Hike,Badulla,Uva,6.8667,81.05,Adventure,Developed,Moderate,Hiking; Viewpoint,
Bopath Ella Falls Trek,Ratnapura,Sabaragamuwa,6.7333,80.3667,Adventure,Developing,Moderate,Waterfall Trek,
Laxapana Falls Trek,Nuwara Eliya,Central,6.9333,80.5,Adventure,Emerging,Remote,Waterfall Trek,
Weligama Surf School,Matara,Southern,5.975,80.4292,Adventure,Developed,Easy Access,Surfing Lessons,
Nuwara Eliya Gregory Lake Boating,Nuwara Eliya,Central,6.9497,80.7891,Leisure,Developed,Easy Access,Boating; Cycling; Golf,
Bentota River Safari & Beach,Galle,Southern,6.4258,79.9986,Leisure,Developed,Easy Access,River Safari; Beach Relaxation; Water Sports,
Negombo Lagoon Boat Ride,Gampaha,Western,7.2083,79.8358,Leisure,Developed,Easy Access,Lagoon Boat Ride; Beach Walk,
Galle Fort Walking Tour,Galle,Southern,6.0269,80.2167,Leisure,Developed,Easy Access,Heritage Walk; Shopping,
Mirissa Whale Watching & Beach,Matara,Southern,5.9483,80.4589,Leisure,Developed,Easy Access,Whale Watching; Beach Relaxation,
Unawatuna Beach,Galle,Southern,6.0108,80.2492,Leisure,Developed,Easy Access,Beach Relaxation; Snorkeling,
Tangalle Beach Escape,Hambantota,Southern,6.0244,80.7947,Leisure,Developing,Moderate,Beach Relaxation,
Pasikuda Beach,Batticaloa,Eastern,7.9297,81.5636,Leisure,Developing,Moderate,Beach Relaxation; Swimming,
Nilaveli Beach,Trincomalee,Eastern,8.7167,81.1833,Leisure,Developing,Moderate,Beach Relaxation; Snorkeling,
