event_id,event_name,posted_by_user_id,nearest_known_destination,district,province,event_date,true_latitude,true_longitude,reported_latitude,reported_longitude,submission_method,distance_error_m,location_accuracy_score,accuracy_tier,is_verified_for_display
EVT20000,Food & Craft Fair,U09276,Gal Oya Kudugala Village Eco Trek,Ampara,Eastern,2025-02-20,7.18545,81.45532,7.19144,81.44756,Manual Map Pin,1083.0,25.8,Very Low,False
EVT20001,Pop-up Local Festival,U09148,Sinhala & Tamil New Year Village Games,Anuradhapura,North Central,2023-03-07,8.30626,80.41918,8.30463,80.42179,Manual Map Pin,338.4,65.5,Medium,True
EVT20002,Private Wedding,U10451,Vesak Festival (Colombo & Island-wide),Colombo,Western,2025-12-11,6.89897,79.85709,6.90017,79.85735,GPS Auto-Tag,135.8,84.4,Medium,True
EVT20003,Temple/Kovil Special Pooja,U12819,Pasikuda Beach,Batticaloa,Eastern,2024-08-31,7.93691,81.5661,7.89962,81.62194,Typed Address,7404.4,0.0,Very Low,False
EVT20004,Temple/Kovil Special Pooja,U15036,Arugam Bay Surfing,Ampara,Eastern,2023-05-01,6.83303,81.83862,6.82719,81.84052,Typed Address,681.2,42.7,Low,False
EVT20005,Community New Year Carnival,U03580,Panama-Kudumbigala Eco Reserve,Ampara,Eastern,2023-12-22,6.88911,81.79894,6.89053,81.7998,GPS Auto-Tag,184.5,79.4,Medium,True
EVT20006,Pop-up Local Festival,U08114,Negombo Lagoon Boat Ride,Gampaha,Western,2023-08-07,7.21623,79.84384,7.22885,79.84527,Manual Map Pin,1409.5,17.2,Very Low,False
EVT20007,Pop-up Local Festival,U14754,Sinharaja Rainforest Trekking,Ratnapura/Galle,Sabaragamuwa,2025-03-18,6.40599,80.5144,6.35666,80.62119,Typed Address,12990.1,0.0,Very Low,False
EVT20008,Corporate Retreat Event,U03917,Diyasaru Wetland Park,Colombo,Western,2025-06-29,6.88242,79.90869,6.88311,79.90917,GPS Auto-Tag,93.2,89.0,High,True
EVT20009,Pop-up Local Festival,U10072,Yala National Park Safari,Hambantota,Southern,2025-09-25,6.38556,81.52864,6.3857,81.52852,GPS Auto-Tag,20.2,97.5,High,True
EVT20010,Village Perahera,U11180,Minneriya-Kaudulla Elephant Corridor,Polonnaruwa,North Central,2023-07-28,8.04173,80.94705,8.0865,80.9372,Typed Address,5085.9,0.2,Very Low,False
EVT20011,Community New Year Carnival,U11278,Bentota River Safari & Beach,Galle,Southern,2023-12-15,6.43033,79.98382,6.4302,79.98285,GPS Auto-Tag,107.5,87.4,High,True
EVT20012,Corporate Retreat Event,U05386,Rekawa Turtle Conservation,Hambantota,Southern,2023-03-08,6.04296,80.82877,6.02816,80.83093,Manual Map Pin,1660.7,12.5,Very Low,False
EVT20013,Temple/Kovil Special Pooja,U17116,Panama-Kudumbigala Eco Reserve,Ampara,Eastern,2023-03-07,6.90296,81.77646,6.90393,81.77959,GPS Auto-Tag,361.2,63.7,Medium,True
EVT20014,Private Wedding,U03273,Victoria Park Nuwara Eliya,Nuwara Eliya,Central,2024-08-28,6.97709,80.75099,6.97282,80.7511,Manual Map Pin,474.0,55.3,Low,False
EVT20015,Beach Party,U07016,Arugam Bay Surfing,Ampara,Eastern,2023-07-15,6.86385,81.84557,6.86372,81.84832,GPS Auto-Tag,303.2,68.5,Medium,True
EVT20016,Village Perahera,U11807,Tangalle Beach Escape,Hambantota,Southern,2023-06-10,6.02791,80.77594,6.03411,80.77084,Manual Map Pin,888.8,32.9,Low,False
EVT20017,Pop-up Local Festival,U16985,Beddagana Wetland Park,Colombo,Western,2024-04-28,6.90779,79.90986,6.90242,79.90776,Manual Map Pin,639.3,45.0,Low,False
EVT20018,Village Perahera,U03122,Laxapana Falls Trek,Nuwara Eliya,Central,2023-03-23,6.9469,80.49649,6.95504,80.5208,Typed Address,2827.3,2.9,Very Low,False
