interaction_id,user_id,destination_id,event_type,rating,timestamp
INT_000001,USR_00982,DEST_0056,viewed,,2025-09-01T11:09:43Z
INT_000002,USR_00307,DEST_0229,bookmarked,,2026-03-06T11:09:43Z
INT_000003,USR_00674,DEST_0062,reviewed,4,2025-07-10T11:09:43Z
INT_000004,USR_00534,DEST_0120,bookmarked,,2025-10-28T11:09:43Z
INT_000005,USR_00257,DEST_0220,booked,,2025-10-12T11:09:43Z
INT_000006,USR_00319,DEST_0137,bookmarked,,2026-02-26T11:09:43Z
INT_000007,USR_00113,DEST_0022,viewed,,2026-03-28T11:09:43Z
INT_000008,USR_00957,DEST_0128,viewed,,2026-03-13T11:09:43Z
INT_000009,USR_00882,DEST_0253,bookmarked,,2026-03-02T11:09:43Z
INT_000010,USR_00569,DEST_0104,viewed,,2026-03-13T11:09:43Z
INT_000011,USR_00062,DEST_0225,viewed,,2025-08-09T11:09:43Z
INT_000012,USR_00925,DEST_0107,reviewed,5,2025-07-31T11:09:43Z
INT_000013,USR_00302,DEST_0039,bookmarked,,2025-12-09T11:09:43Z
INT_000014,USR_00407,DEST_0013,viewed,,2026-03-29T11:09:43Z
INT_000015,USR_00793,DEST_0199,viewed,,2026-02-18T11:09:43Z
INT_000016,USR_00064,DEST_0220,viewed,,2025-07-07T11:09:43Z
INT_000017,USR_00639,DEST_0259,viewed,,2025-11-18T11:09:43Z
INT_000018,USR_00178,DEST_0260,bookmarked,,2026-03-27T11:09:43Z
INT_000019,USR_00146,DEST_0230,viewed,,2025-07-21T11:09:43Z
INT_000020,USR_00522,DEST_0120,viewed,,2026-01-04T11:09:43Z
INT_000021,USR_00713,DEST_0177,viewed,,2025-12-01T11:09:43Z
INT_000022,USR_00027,DEST_0060,bookmarked,,2025-12-02T11:09:43Z
INT_000023,USR_00707,DEST_0008,viewed,,2025-11-05T11:09:43Z
INT_000024,USR_00576,DEST_0078,viewed,,2025-09-30T11:09:43Z
INT_000025,USR_00162,DEST_0185,bookmarked,,2025-07-16T11:09:43Z
INT_000026,USR_00994,DEST_0213,viewed,,2025-10-19T11:09:43Z
INT_000027,USR_00682,DEST_0191,viewed,,2025-11-28T11:09:43Z
INT_000028,USR_00538,DEST_0001,viewed,,2025-09-09T11:09:43Z
INT_000029,USR_00482,DEST_0115,viewed,,2025-12-15T11:09:43Z
INT_000030,USR_00762,DEST_0258,bookmarked,,2025-09-16T11:09:43Z
INT_000031,USR_00120,DEST_0011,viewed,,2026-02-20T11:09:43Z
INT_000032,USR_00889,DEST_0165,viewed,,2025-08-14T11:09:43Z
INT_000033,USR_00147,DEST_0127,booked,,2025-11-04T11:09:43Z
INT_000034,USR_00009,DEST_0181,viewed,,2025-08-01T11:09:43Z
INT_000035,USR_00045,DEST_0049,bookmarked,,2026-06-09T11:09:43Z
INT_000036,USR_00495,DEST_0044,bookmarked,,2025-10-15T11:09:43Z
INT_000037,USR_00928,DEST_0007,bookmarked,,2025-12-24T11:09:43Z
INT_000038,USR_00675,DEST_0179,viewed,,2026-04-01T11:09:43Z
INT_000039,USR_00791,DEST_0010,viewed,,2026-05-29T11:09:43Z
INT_000040,USR_00871,DEST_0070,bookmarked,,2025-08-18T11:09:43Z
INT_000041,USR_00103,DEST_0012,viewed,,2026-05-10T11:09:43Z
INT_000042,USR_00410,DEST_0143,viewed,,2025-12-27T11:09:43Z
INT_000043,USR_00068,DEST_0177,viewed,,2026-01-19T11:09:43Z
INT_000044,USR_00311,DEST_0232,viewed,,2025-09-30T11:09:43Z
INT_000045,USR_00335,DEST_0143,bookmarked,,2025-12-09T11:09:43Z
INT_000046,USR_00975,DEST_0049,viewed,,2026-06-05T11:09:43Z
INT_000047,USR_00557,DEST_0168,bookmarked,,2026-06-10T11:09:43Z
INT_000048,USR_00849,DEST_0107,viewed,,2026-04-25T11:09:43Z
INT_000049,USR_00854,DEST_0257,viewed,,2025-07-31T11:09:43Z
INT_000050,USR_00698,DEST_0170,booked,,2025-08-02T11:09:43Z
INT_000051,USR_00435,DEST_0022,bookmarked,,2026-06-03T11:09:43Z
INT_000052,USR_00278,DEST_0190,viewed,,2025-08-14T11:09:43Z
INT_000053,USR_00466,DEST_0119,booked,,2025-10-31T11:09:43Z
INT_000054,USR_00894,DEST_0153,bookmarked,,2026-04-01T11:09:43Z
INT_000055,USR_00450,DEST_0020,reviewed,3,2026-01-12T11:09:43Z
