question,answer,category
What is the best way to travel from Colombo to Kandy?,"The most scenic and popular way is by train from Colombo Fort to Kandy. It takes about 2.5 to 3 hours. Alternatively, you can take an AC bus from Bastian Mawatha or hire a private taxi (approx. $40-$50).",Transport
How much does a tuk-tuk cost per kilometer in Sri Lanka?,"A standard metered tuk-tuk charges around 100-120 LKR for the first kilometer, and 80-100 LKR per kilometer after that. Always ask to use the meter, or negotiate the fare before starting the journey.",Pricing
Is it safe for solo female travelers in Sri Lanka?,"Yes, Sri Lanka is generally safe for solo female travelers. However, dress modestly (covering shoulders and knees) especially in rural areas or religious sites, avoid isolated beaches at night, and always use reputable transport like PickMe or Uber. Use the CEYLO SOS button if you feel unsafe.",Safety
What should I wear when visiting a Buddhist temple?,You must wear clothing that covers your shoulders and knees. Hats and shoes must be removed before entering the sacred areas of the temple.,Cultural Norms
When is the best time to visit the southern beaches like Mirissa and Unawatuna?,"The best time to visit the South Coast is from late November to April, when the weather is dry and the sea is calm, making it perfect for swimming and whale watching.",Weather & Seasons
What is the emergency police number in Sri Lanka?,"The emergency police number is 119. For tourist police, you can dial 1912. You can also trigger the CEYLO SOS feature for immediate assistance.",Emergency
Can I drink tap water in Sri Lanka?,"No, it is not recommended to drink tap water. Always drink bottled, filtered, or boiled water. Check that the seal on bottled water is intact before purchasing.",Health & Safety
How much should I tip in restaurants?,"A 10% service charge is often included in the bill. If it's not included, leaving a 10% tip is customary and appreciated for good service.",Cultural Norms & Pricing
What is the entry fee for Sigiriya Rock Fortress?,"As of recent updates, the entry fee for Sigiriya is roughly $30 USD for foreign adults. SAARC country citizens pay roughly $15 USD. You can pay in LKR equivalent or USD at the counter.",Pricing
Are there any eco-friendly ways to see elephants?,"Yes! Instead of elephant riding or visiting orphanages with chained animals, it is highly recommended to do a jeep safari in Minneriya, Kaudulla, or Udawalawe National Parks where you can observe wild elephants in their natural habitat. Look for high Eco Score operators on CEYLO.",Eco & Sustainability
How do I get a SIM card as a tourist?,You can easily buy a tourist SIM card right at the arrival lounge in Bandaranaike International Airport (BIA). Dialog and Mobitel offer good island-wide coverage. You will need your passport to register.,General Info
What is a 'Poya' day?,"A Poya day is a Buddhist public holiday in Sri Lanka that occurs every full moon. On these days, the sale of alcohol and meat is strictly prohibited, and many businesses may be closed.",Cultural Norms
How do I avoid plastic waste during my trip?,"Carry a reusable water bottle (many hotels offer filtered water refills), refuse plastic straws with king coconuts, and bring a reusable tote bag for shopping. CEYLO highlights vendors with strict zero-plastic policies.",Eco & Sustainability
What are the common symptoms of dengue and how to avoid it?,"Symptoms include sudden high fever, severe headache, joint/muscle pain, and a rash. To avoid dengue, use mosquito repellent containing DEET, wear long sleeves during dawn and dusk, and sleep under a mosquito net.",Health & Safety
Is Uber available in Sri Lanka?,"Yes, Uber is available in Colombo and some major tourist hubs. 'PickMe' is the local equivalent and is widely used across the island for tuk-tuks, cars, and food delivery.",Transport
