destination_id,name,category,province,lat,lon,hidden_gem,avg_rating,popularity_rank,seasonal_availability,carbon_footprint_index,wildlife_disturbance_risk,plastic_pollution_risk,community_benefit_score,carrying_capacity_adherence,eco_score
DEST_0001,Sigiriya Rock Fortress,Heritage & Culture,North Central Province,7.957,80.7603,False,4.5,1,Year-Round,32,8,67,42,True,68.8
DEST_0002,Temple of the Sacred Tooth Relic,Heritage & Culture,Central Province,7.2936,80.6413,False,4.6,2,Year-Round,18,6,60,86,False,72.5
DEST_0003,Yala National Park,Wildlife,Southern Province,6.3683,81.5186,False,4.8,3,Year-Round,32,16,33,33,False,60.4
DEST_0004,Ella Rock,Nature & Viewpoint,Uva Province,6.86,81.047,False,4.9,4,Year-Round,10,6,21,66,True,86.3
DEST_0005,Nine Arches Bridge,Heritage & Culture,Uva Province,6.8767,81.0609,False,4.6,5,Year-Round,52,20,69,59,False,54.5
DEST_0006,Galle Fort,Heritage & Culture,Southern Province,6.0286,80.2168,False,4.6,6,Year-Round,46,19,52,70,True,70.9
DEST_0007,Mirissa Beach,Beach,Southern Province,5.9483,80.4578,False,4.9,7,Nov-April,34,15,40,62,True,74.9
DEST_0008,Pinnawala Elephant Orphanage,Wildlife,Sabaragamuwa Province,7.2995,80.3861,False,4.5,8,Year-Round,59,10,30,43,False,57.4
DEST_0009,Horton Plains National Park,Nature & Viewpoint,Central Province,6.8028,80.8066,False,4.7,9,Year-Round,58,19,67,74,True,66.5
DEST_0010,Arugam Bay,Beach,Eastern Province,6.8436,81.8267,False,4.8,10,May-Oct,14,18,50,68,True,79.0
DEST_0011,Dambulla Cave Temple,Heritage & Culture,North Central Province,7.8566,80.6485,False,4.7,11,Year-Round,35,7,32,68,True,78.7
DEST_0012,Udawalawe National Park,Wildlife,Sabaragamuwa Province,6.4764,80.8988,False,4.8,12,Year-Round,6,23,64,57,True,75.7
DEST_0013,Adam's Peak (Sri Pada),Nature & Viewpoint,Sabaragamuwa Province,6.8096,80.4994,False,4.9,13,Year-Round,41,15,76,81,True,71.5
DEST_0014,Ruwanwelisaya,Heritage & Culture,North Central Province,8.3503,80.3965,False,4.9,14,Year-Round,57,17,56,62,True,66.3
DEST_0015,Bambarakanda Falls,Waterfall,Uva Province,6.7724,80.8291,False,4.8,15,Year-Round,40,16,51,38,True,66.8
DEST_0016,Trincomalee Koneswaram Temple,Heritage & Culture,Eastern Province,8.5816,81.2407,False,4.9,16,Year-Round,50,19,33,40,True,66.8
DEST_0017,Unawatuna Beach,Beach,Southern Province,6.0116,80.2458,False,4.9,17,Nov-April,33,6,69,76,True,75.4
DEST_0018,Minneriya National Park,Wildlife,North Central Province,8.0336,80.8354,False,4.7,18,Year-Round,49,1,35,38,False,59.9
DEST_0019,Pigeon Island National Park,Nature & Viewpoint,Eastern Province,8.7183,81.2001,False,4.6,19,Year-Round,48,7,65,68,True,70.5
DEST_0020,Jaffna Fort,Heritage & Culture,Northern Province,9.6615,80.0074,False,4.2,20,Year-Round,14,18,62,41,True,71.8
DEST_0021,Kitulgala Sands,Beach,Sabaragamuwa Province,6.477203,80.552771,False,3.9,203,Year-Round,14,14,45,55,False,68.0
DEST_0022,Polonnaruwa Cove,Beach,North Central Province,8.352923,80.99252,False,4.2,27,Year-Round,16,3,30,64,False,73.7
DEST_0023,Puttalam Ancient Temple,Heritage & Culture,North Western Province,7.702255,80.187003,True,4.4,44,Year-Round,18,12,17,47,False,69.9
DEST_0024,Hatton Hidden National Park,Wildlife,Central Province,7.407238,80.5737,True,4.8,132,Year-Round,20,40,39,63,False,63.8
DEST_0025,Polonnaruwa Grand Safari,Wildlife,North Central Province,8.058128,80.095663,False,4.7,98,Year-Round,9,15,18,63,True,84.7
DEST_0026,Hatton Bay,Beach,Central Province,7.460073,80.833958,False,4.2,269,Year-Round,56,11,34,47,True,68.1
DEST_0027,Kurunegala Falls,Waterfall,North Western Province,7.517065,79.915164,False,4.3,69,Year-Round,11,10,14,61,False,75.3
DEST_0028,Kegalle Secret National Park,Wildlife,Sabaragamuwa Province,6.74477,80.298778,True,4.2,122,Year-Round,39,16,38,88,True,78.9
DEST_0029,Arugam Bay Ella,Waterfall,Eastern Province,7.914753,81.183737,False,4.9,195,Year-Round,33,1,16,90,True,87.2
DEST_0030,Colombo Secret Estate,Nature & Viewpoint,Western Province,7.025875,80.192434,False,4.0,64,Year-Round,55,18,20,86,True,76.9
DEST_0031,Kitulgala Secret Bird Sanctuary,Wildlife,Sabaragamuwa Province,7.0057,80.425368,True,4.3,300,Year-Round,53,40,58,47,True,59.5
DEST_0032,Arugam Bay Central Sanctuary,Nature & Viewpoint,Eastern Province,8.088361,81.566342,True,4.3,241,Year-Round,58,11,71,72,False,57.0
DEST_0033,Puttalam Beach,Beach,North Western Province,7.758902,79.77276,False,4.2,252,Year-Round,52,5,13,46,True,73.2
DEST_0034,Unawatuna Cascade,Waterfall,Southern Province,6.348855,80.040754,True,4.5,90,Year-Round,52,7,48,76,True,73.6
DEST_0035,Bandarawela Falls,Waterfall,Uva Province,6.845818,81.4093,True,4.5,163,Year-Round,42,5,43,47,True,71.4
DEST_0036,Jaffna Ancient Fortress,Heritage & Culture,Northern Province,9.645677,80.521286,False,3.9,207,Year-Round,38,20,61,53,True,68.0
DEST_0037,Matale Beach,Beach,Central Province,7.281876,80.529387,True,4.9,165,Year-Round,8,6,75,37,False,62.9
DEST_0038,Kalpitiya Ancient Sanctuary,Nature & Viewpoint,North Western Province,7.639682,80.193886,True,4.2,54,Year-Round,31,16,48,50,True,71.8
DEST_0039,Mullaitivu Central Rock,Nature & Viewpoint,Northern Province,9.043687,80.175796,False,4.8,150,Year-Round,43,3,64,34,True,65.9
DEST_0040,Mannar Cascade,Waterfall,Northern Province,9.1335,79.871244,True,4.1,179,Year-Round,58,4,19,50,True,71.8
DEST_0041,Haputale Royal Viharaya,Heritage & Culture,Uva Province,6.945132,81.374063,True,4.7,264,Year-Round,31,11,77,70,False,62.5
DEST_0042,Hikkaduwa Falls,Waterfall,Southern Province,6.209993,80.151166,False,4.8,66,Year-Round,56,3,55,57,True,68.6
DEST_0043,Mannar Hidden Ruins,Heritage & Culture,Northern Province,8.893035,80.191166,False,4.6,227,Year-Round,15,10,18,78,True,87.2
DEST_0044,Mirissa Central National Park,Wildlife,Southern Province,5.974725,80.643091,False,4.4,134,Year-Round,48,12,60,80,True,72.6
DEST_0045,Mount Lavinia Secret Viewpoint,Nature & Viewpoint,Western Province,6.640975,80.10418,False,3.9,166,Year-Round,22,1,24,35,True,77.7
DEST_0046,Puttalam Ancient Ruins,Heritage & Culture,North Western Province,7.836232,80.364756,False,4.4,231,Year-Round,45,15,47,80,False,64.7
DEST_0047,Arugam Bay Hidden Sanctuary,Nature & Viewpoint,Eastern Province,8.670888,81.749028,False,4.7,56,Year-Round,48,12,63,34,True,63.0
DEST_0048,Haputale Cove,Beach,Uva Province,6.75565,81.268306,False,4.3,174,Year-Round,48,16,54,42,False,55.1
DEST_0049,Mullaitivu Royal Bird Sanctuary,Wildlife,Northern Province,9.711905,80.379891,False,4.3,157,Year-Round,15,2,25,54,True,82.9
DEST_0050,Jaffna Bay,Beach,Northern Province,9.081126,80.222065,True,4.6,111,Year-Round,24,17,66,41,True,68.9
DEST_0051,Habarana Central Stupa,Heritage & Culture,North Central Province,8.112308,80.689743,False,3.9,100,Year-Round,34,10,61,48,False,60.0
DEST_0052,Vavuniya Beach,Beach,Northern Province,8.95775,80.514872,True,4.1,89,Year-Round,42,16,27,53,True,72.8
DEST_0053,Mannar Ancient Temple,Heritage & Culture,Northern Province,9.7789,79.897399,False,4.6,213,Year-Round,55,0,70,90,False,63.8
DEST_0054,Matara Falls,Waterfall,Southern Province,6.290063,80.912353,False,4.2,65,Year-Round,8,17,58,62,False,68.3
DEST_0055,Mount Lavinia Ancient Peak,Nature & Viewpoint,Western Province,7.160833,80.05262,False,3.9,176,Year-Round,11,15,14,82,True,88.5
DEST_0056,Mullaitivu Sands,Beach,Northern Province,9.652454,80.510968,True,4.4,39,Year-Round,56,16,79,46,True,60.1
DEST_0057,Negombo Hidden National Park,Wildlife,Western Province,6.996225,79.825588,False,4.6,136,Year-Round,42,7,80,83,False,62.7
DEST_0058,Arugam Bay Ancient Bird Sanctuary,Wildlife,Eastern Province,8.658099,81.437645,False,3.9,80,Year-Round,17,29,25,58,False,67.8
